CODNUM,NUMCOM,TIPUS,CODVIA,NOMVIA,LAT,LNG
29042,205,,522,c. de les Tres Creus,41.54629395,2.11794926
392965,25A,,507,c. de València,41.5662082,2.09614321
19530,46,,1427,c. de Colom,41.54630258,2.10366238
68423,11B,,481,c. de la Verge de la Paloma,41.52622707,2.11881079
22708,120,,1020,c. del Maestrat,41.56485657,2.09953534
66287,11,,481,c. de la Verge de la Paloma,41.52624782,2.11887129
65860,11,,1069,c. de Lepant,41.5375789,2.11278919
50541,19,,716,c. de Regàs,41.53889892,2.11403153
19955,42,,1427,c. de Colom,41.54640196,2.10398478
50315,29,,1513,c. de Calassanç Duran,41.5403785,2.11638446
19954,40,,1427,c. de Colom,41.54643003,2.10404716
52978,32,,666,c. de la Saboneria,41.52862933,2.11988424
41014,44,,1427,c. de Colom,41.54633773,2.10378017
52590,14,,801,ptge. de Pere Santfeliu,41.52609796,2.11888308
393064,18B,,1242,c. de Fra Batlle,41.5534379,2.10867132
48709,168,,1520,c. de Buxeda,41.53261766,2.11242221
23175,89,,1367,c. del Doctor Balari,41.53369191,2.10677988
44332,111,,1527,c. del Bruc,41.53214619,2.11134491
393127,62B,,1163,c. de l' Himàlaia,41.57288653,2.08824436
44335,117,,1527,c. del Bruc,41.53191724,2.11145046
34376,1,,1247,c. de la Forcanada,41.57293564,2.08834406
22819,123,,1527,c. del Bruc,41.53169199,2.11156191
77879,10A,,1487,pl. de Ca n'Oriac,41.566331,2.08671947
56092,10,,1487,pl. de Ca n'Oriac,41.56629695,2.08675532
108455,70,,742,c. de Puig Antich,41.55378223,2.07552656
394055,14B,,867,c. d' Olzinelles,41.53629803,2.11972615
45003,93,,1367,c. del Doctor Balari,41.53355724,2.10686633
66308,18,,1018,c. de Magí Colet,41.52565434,2.11925315
21148,170,,1458,c. de Castellar del Vallès,41.55963905,2.10043628
10195,26,,1085,c. de Juvenal,41.55590952,2.08463604
10000,105,,1165,c. de Gustavo Adolfo Bécquer,41.55129696,2.08301064
393122,36A,,1412,c. de Concepción Arenal,41.52829877,2.11847754
63981,143,,1503,c. de Ca n'Alzina,41.53595643,2.13320943
203693,167,,1502,av. de Can Bordoll,41.53427055,2.13208984
63979,120,,1481,av. de Can Roqueta,41.5374554,2.13602473
9074,52,,1076,c. de La Palma,41.54528487,2.08654993
52687,3,,636,ptge. de Santa Perpètua,41.52805236,2.12060858
11248,59,,949,pgon. dels Merinals,41.5445869,2.08809012
30145,1,,1423,ptge. de les Columbretes,41.54470249,2.08667761
32424,13,,549,c. de Tenerife,41.54556979,2.08947516
52513,3,,1288,c. de Fatjó,41.5279975,2.11851371
393252,1A,,1288,c. de Fatjó,41.52794416,2.1183177
52512,1,,1288,c. de Fatjó,41.52795634,2.11836235
64408,29,,457,c. de Wagner,41.5498414,2.08192681
9488,27,,457,c. de Wagner,41.5498145,2.08197512
30383,31,,457,c. de Wagner,41.54986724,2.08187439
9489,25,,457,c. de Wagner,41.5497876,2.08202358
9490,23,,457,c. de Wagner,41.54976245,2.08206894
30242,8,,1123,c. de Johann Sebastian Bach,41.5497528,2.0817055
9575,32,,1443,c. de Chopin,41.549992,2.08277388
9574,10,,1581,c. de Beethoven,41.54991822,2.08261061
52979,34,,666,c. de la Saboneria,41.52858512,2.11990835
45722,87,,1445,c. de Cervantes,41.54083348,2.10807256
46045,90,,606,c. de Sant Pau,41.54090343,2.10851419
76279,3A,,1443,c. de Chopin,41.55065031,2.08168692
68632,3B,,1443,c. de Chopin,41.55063884,2.08171641
66913,8,,1238,c. de Francesc Casañas,41.52982287,2.12047796
46046,94,,606,c. de Sant Pau,41.54045447,2.10871897
76447,33,,594,c. de Sarasate,41.55225939,2.08089731
58297,92,,606,c. de Sant Pau,41.54063731,2.10863236
46182,42,,450,c. de Zurbano,41.54035968,2.1086135
112822,298,,1295,rda. d' Europa,41.55598941,2.08125707
46186,50,,450,c. de Zurbano,41.54027714,2.10829499
69133,19B,,1073,c. de Las Navas,41.56178124,2.10167899
17623,8,,670,ptge. de Rovira i Virgili,41.52863812,2.10287355
74061,63,,1234,c. de Francesc Layret,41.55940354,2.10134414
74060,61,,1234,c. de Francesc Layret,41.55938717,2.10118903
56969,5,,583,c. de la Selva,41.5666338,2.09342532
77822,12,,458,c. de Walter Benjamin,41.56102992,2.07630156
77819,10,,458,c. de Walter Benjamin,41.56098218,2.07631964
77817,8,,458,c. de Walter Benjamin,41.56093088,2.07634155
9854,29,,621,c. de Sant Isidor,41.55432148,2.08628105
9851,43,,621,c. de Sant Isidor,41.55412067,2.08570112
75558,18,,1029,c. de Lucà,41.55312456,2.08737956
75557,16,,1029,c. de Lucà,41.55311778,2.08746864
32931,13,,853,c. d' Ovidi,41.55358908,2.0876215
45910,81,,1072,c. de Latorre,41.5385416,2.11010524
49918,22,,935,c. de Miquel Servet,41.53342808,2.116399
49888,5,,935,c. de Miquel Servet,41.53339484,2.11583429
49889,7,,935,c. de Miquel Servet,41.53339995,2.11585429
74831,48,,1046,av. de Lluís Companys,41.5529713,2.08793524
15018,160,,1450,c. de Cellers,41.53936705,2.09929773
393334,5B,,583,c. de la Selva,41.56669128,2.09349112
77870,39,,1145,c. del Jardí,41.54542384,2.11119147
30658,1,,996,c. de Marcial,41.55370645,2.08709864
30662,9,,996,c. de Marcial,41.55357002,2.08670705
108442,44,,742,c. de Puig Antich,41.55426177,2.07421654
108447,54,,742,c. de Puig Antich,41.55396311,2.07505521
108446,52,,742,c. de Puig Antich,41.55399737,2.0749005
108445,50,,742,c. de Puig Antich,41.55404651,2.07471968
108443,46,,742,c. de Puig Antich,41.55417714,2.07433148
393418,3B,,1572,c. de Bellsolà,41.53488345,2.11948939
106185,80B,,1303,pg. d' Espronceda,41.52852404,2.1148827
362836,11,,100175,c. del Poble Amazic,41.53971229,2.08882585
62525,585,,1587,ctra. de Barcelona,41.52770506,2.11846854
362856,51,,100175,c. del Poble Amazic,41.5398966,2.08800271
105902,3,,1572,c. de Bellsolà,41.53487313,2.11935299
66581,583,,1587,ctra. de Barcelona,41.52773639,2.1184382
67013,53,,935,c. de Miquel Servet,41.53397023,2.11793865
67012,55,,935,c. de Miquel Servet,41.53398103,2.11797835
261777,126,,58539,c. de Londres,41.55892134,2.07874808
51596,276,,1388,c. de Covadonga,41.54791298,2.11651827
27417,5,,1672,c. d' Alfons Sala,41.55004376,2.11442085
395468,14B,,1242,c. de Fra Batlle,41.55330944,2.1087721
44957,44,,1520,c. de Buxeda,41.53719572,2.11029412
110203,578,,542,ctra. de Terrassa,41.55212065,2.07155986
110171,528,,542,ctra. de Terrassa,41.55145538,2.07412421
403367,35B,,1635,c. d' Antonio Vico,41.54926556,2.08499095
65856,19,,1069,c. de Lepant,41.5375288,2.11260404
395504,32B,,1238,c. de Francesc Casañas,41.52924621,2.12137249
65907,18,,1069,c. de Lepant,41.53764598,2.11260548
66805,36,,1238,c. de Francesc Casañas,41.52913375,2.12151274
66807,40,,1238,c. de Francesc Casañas,41.52906754,2.12159511
39246,13,,987,c. de Maria Antònia Salvà,41.53474897,2.10142166
18077,56,,988,c. de Marià Aguiló,41.53472854,2.10187732
18076,52,,988,c. de Marià Aguiló,41.53479945,2.1021399
39235,60,,988,c. de Marià Aguiló,41.53467101,2.10166528
313510,1-LL,,1265,pl. de Fiveller,41.53841141,2.10004381
72696,78,,1184,c. de Gràcia,41.5491683,2.10589442
72692,72,,1184,c. de Gràcia,41.5491489,2.10590327
78661,5,,1232,c. de Francesc Sabaté,41.55430896,2.07579248
78607,5,,981,c. de Marie Curie,41.55480833,2.07533055
177543,2,,23548,c. de Viena,41.55952263,2.08088149
177545,4,,23548,c. de Viena,41.55951294,2.08084377
211088,40,,23548,c. de Viena,41.55938284,2.08033864
211087,38,,23548,c. de Viena,41.55939062,2.0803665
113193,180,,595,c. de Sarajevo,41.5632367,2.07950636
18047,276,,797,c. de Permanyer,41.53596919,2.10174319
66808,42,,1238,c. de Francesc Casañas,41.52903659,2.12163353
19691,28,,715,c. de la Reina Elionor,41.54182905,2.10157231
19688,20,,715,c. de la Reina Elionor,41.54199409,2.10149492
40755,22,,715,c. de la Reina Elionor,41.54196058,2.10151063
26279,100,,1105,c. de Josep Comas,41.52527578,2.11306195
28008,21,,1345,pg. del Dos de Maig,41.53192569,2.1196534
60946,87,,1285,c. de Feijoo,41.52662602,2.11147313
10886,60,,1693,c. d' Agustí Bartra,41.57496657,2.08187818
19734,5,,615,c. de Sant Jordi,41.5429256,2.10209758
52828,19,,1345,pg. del Dos de Maig,41.53196085,2.11963315
48965,246,,1240,c. de Fra Luis de León,41.53235421,2.11699544
393658,11A,,1102,c. de Josep Guardiet,41.52578587,2.10768795
19739,28,,927,ctra. de Molins de Rei,41.54269488,2.10232907
19740,30,,927,ctra. de Molins de Rei,41.54267693,2.10231444
65237,16,,625,c. de Santiago de Compostel·la,41.52611093,2.11741401
19737,24,,927,ctra. de Molins de Rei,41.54281771,2.10232659
19738,26,,927,ctra. de Molins de Rei,41.54275106,2.10233031
12417,2,,993,c. de la Mare de les Aigües,41.56079717,2.09174573
65247,62,,481,c. de la Verge de la Paloma,41.52574786,2.11703614
65243,54,,481,c. de la Verge de la Paloma,41.52581885,2.11724308
109660,8,,1419,c. del Comte de Reus,41.54718237,2.11725231
22868,2,,1702,c. de l' Abat Oliba,41.5314851,2.10881592
34723,67,,1592,c. dels Balcans,41.57389769,2.09022052
33803,19,,1250,c. de Font i Sagué,41.56162279,2.09088783
75210,10,,1142,c. de Jaume I,41.55773181,2.09416425
69751,91,,1025,c. de la Lusitània,41.55991592,2.09126011
392251,4,,113695,pl. de la Farinera,41.5472494,2.1165056
63082,1,,1259,c. del Fluvià,41.55011469,2.12372457
71057,32,,611,c. de Sant Maties,41.55388103,2.10679266
24458,21,,1484,c. de Can Puiggener,41.55360395,2.10726764
24484,19,,1484,c. de Can Puiggener,41.55354783,2.10725109
24513,15,,554,c. del Taulí,41.55333633,2.10756362
74563,11,,672,rda. de la Roureda,41.56753641,2.08432543
24586,11,,1336,ptge. d' Edgardo Ricetti,41.55283258,2.1075898
24585,13,,1336,ptge. d' Edgardo Ricetti,41.5528749,2.1075604
112653,42,,672,rda. de la Roureda,41.56702075,2.08385828
24584,15,,1336,ptge. d' Edgardo Ricetti,41.55291875,2.1075338
24580,23,,1336,ptge. d' Edgardo Ricetti,41.55308482,2.10744742
24581,21,,1336,ptge. d' Edgardo Ricetti,41.55304724,2.10747132
24582,19,,1336,ptge. d' Edgardo Ricetti,41.55300068,2.10749459
24583,17,,1336,ptge. d' Edgardo Ricetti,41.55295926,2.10751942
47531,28,,609,c. de Sant Miquel,41.5536719,2.10681905
113809,28,,759,c. de Praga,41.56408762,2.08537616
23922,32,,1698,c. de l' Advocat Cirera,41.54587651,2.10707515
67883,6B,,1142,c. de Jaume I,41.55793467,2.09491661
69643,32A,,1698,c. de l' Advocat Cirera,41.54587284,2.10703906
46685,24,,1536,c. de la Borriana,41.5475858,2.10913649
59813,12,,617,c. de Sant Joan,41.54805555,2.10943239
59812,10,,617,c. de Sant Joan,41.54809779,2.10941908
59871,17,,1384,c. de la Creueta,41.54881014,2.11028309
59870,19,,1384,c. de la Creueta,41.5488308,2.11033008
59869,21,,1384,c. de la Creueta,41.54884414,2.11036114
59868,23,,1384,c. de la Creueta,41.54886307,2.11040477
59867,25,,1384,c. de la Creueta,41.54888238,2.1104489
59863,41,,1384,c. de la Creueta,41.54906728,2.11087377
59866,35,,1384,c. de la Creueta,41.54899725,2.11071394
61955,71,,1384,c. de la Creueta,41.54956585,2.11204249
61954,75,,1384,c. de la Creueta,41.54959947,2.11212368
61953,77,,1384,c. de la Creueta,41.54961673,2.11216531
61947,89,,1384,c. de la Creueta,41.54972973,2.11243689
61959,65,,1384,c. de la Creueta,41.54946794,2.11180871
61946,91,,1384,c. de la Creueta,41.54974496,2.11247368
61958,67,,1384,c. de la Creueta,41.54952476,2.11194487
61957,69,,1384,c. de la Creueta,41.54954517,2.11199299
61951,81,,1384,c. de la Creueta,41.54965365,2.11225333
61950,83,,1384,c. de la Creueta,41.54967281,2.11229966
76507,79B,,1384,c. de la Creueta,41.5496332,2.11220462
61949,85,,1384,c. de la Creueta,41.54969138,2.11234438
61948,87,,1384,c. de la Creueta,41.54971208,2.11239419
393744,37C,,1080,c. de Lacy,41.54433929,2.11169965
395407,48B,,516,c. de Turina,41.55055043,2.08356119
21170,30,,1696,c. d' Agnès Armengol,41.55703094,2.10450466
21169,28,,1696,c. d' Agnès Armengol,41.55700139,2.1044683
57656,31,,1696,c. d' Agnès Armengol,41.55723265,2.10454717
41471,70,,1695,c. de l' Agricultura,41.55296935,2.10032066
8971,22,,1693,c. d' Agustí Bartra,41.57422956,2.08034078
269832,53B,,1013,c. Major,41.55568371,2.10061947
12534,35,,962,c. de Mauberme,41.56597457,2.08763486
8751,10,,1688,c. d' Albéniz,41.54994942,2.08095654
8752,12,,1688,c. d' Albéniz,41.54999736,2.08099586
8750,8,,1688,c. d' Albéniz,41.5498878,2.08090599
10031,44,,1688,c. d' Albéniz,41.55091617,2.08175818
29247,17,,955,c. de Meranges,41.54734228,2.12780396
34630,58,,886,rda. de Navacerrada,41.57045093,2.09187593
68776,5B,,1677,c. d' Alcubierre,41.57107481,2.09097856
