CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. del Sol,102,3F CONSULTORES,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5433,2.10952,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Sol, 102 Bxs","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de Garcilaso,111,5 PASSES,activitat_econòmica,Altres activitats d'educació ncaa,41.5491,2.10139,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Garcilaso, 111 Bxs 3a",Altres activitats d'educació ncaa
,pg. de la Plaça Major,51,A C I ASSOCIATS 93,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5479,2.10845,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de la Plaça Major, 51 1r",Activitats d'agents i corredors d'assegurances
,c. de Calderón,90,A COLORIS,activitat_econòmica,Educació relacionada amb la cultura,41.5473,2.10294,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Calderón, 90 Bxs",Educació relacionada amb la cultura
,c. de Capmany,22,A HIGUERAS DECORACIÓ,activitat_econòmica,"Comerç al detall de catifes, moquetes i revestiments de parets i terres en estab",41.5492,2.10719,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Capmany, 22 Bxs","Comerç al detall de catifes, moquetes i revestiments de parets i terres en establiments especialitzats"
,c. del Marquès de Comillas,31,AAF INTERNACIONAL,activitat_econòmica,Comerç a l'engròs d'altres tipus de maquinària i equips,41.5407,2.11547,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Marquès de Comillas, 31 Bxs 1a",Comerç a l'engròs d'altres tipus de maquinària i equips
,c. del Convent,21,AB ARMENTERAS BLANCO ADVOCATS,activitat_econòmica,Activitats jurídiques,41.5504,2.1087,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Convent, 21 Bxs 1a",Activitats jurídiques
,c. de Sallarès i Pla,7,ABACUS,activitat_econòmica,Comerç a l'engròs d'altres articles d'ús domèstic,41.5459,2.1121,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sallarès i Pla, 7 Bxs",Comerç a l'engròs d'altres articles d'ús domèstic
,c. de l' Estrella,128,ABORA,activitat_econòmica,Activitats de medicina especialitzada,41.5427,2.10732,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estrella, 128 B 1r 2a",Activitats de medicina especialitzada
,rda. de Ponent,43,ABRAHAM MARTINEZ,activitat_econòmica,Confecció d'altres peces de vestir exteriors,41.5476,2.10298,,,,sabadellempresa.cat,HOSTAFRANCS,1,"rda. de Ponent, 43 Bxs 2a",Confecció d'altres peces de vestir exteriors
,c. d' Àngel Guimerà,2,ACCIIS CONSULTING GROUP,activitat_econòmica,Activitats jurídiques,41.5457,2.09942,,,,sabadellempresa.cat,EL CENTRE,1,"c. d' Àngel Guimerà, 2 1r 1a",Activitats jurídiques
,ctra. de Barcelona,189,ACTIVA MUTUA 2008,activitat_econòmica,"Assegurances, excepte assegurances de vida",41.5449,2.1095,,,,sabadellempresa.cat,EL CENTRE,1,"ctra. de Barcelona, 189 Bxs 2a","Assegurances, excepte assegurances de vida"
,c. de les Tres Creus,82,ACTIVITY,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5395,2.10697,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Tres Creus, 82 Bxs",Perruqueria i altres tractaments de bellesa
,pg. de Manresa,1,ACTORIS TALLER D'ADVOCATS,activitat_econòmica,Activitats jurídiques,41.5461,2.11217,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de Manresa, 1 3r 1a",Activitats jurídiques
,c. de Gràcia,51,ADAI,activitat_econòmica,"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús dom",41.5482,2.10842,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 51 Bxs 7a","Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats"
,ctra. de Terrassa,2,ADAN TATTOO,activitat_econòmica,Altres activitats de serveis personals ncaa,41.5477,2.10702,,,,sabadellempresa.cat,EL CENTRE,1,"ctra. de Terrassa, 2 Bxs 2a",Altres activitats de serveis personals ncaa
,Rambla,154,ADELA PALOP,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.546,2.10605,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 154 Bxs",Comerç al detall de peces de vestir en establiments especialitzats
,via de Massagué,34,ADETE,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.5436,2.10295,,,,sabadellempresa.cat,EL CENTRE,1,"via de Massagué, 34 Bxs Dta",Comerç al detall de peces de vestir en establiments especialitzats
,ctra. de Terrassa,48,ADEUR SEGURETAT,activitat_econòmica,Comerç al detall d'electrodomèstics en establiments especialitzats,41.5419,2.11116,,,,sabadellempresa.cat,EL CENTRE,1,"ctra. de Terrassa, 48 Bxs 2a",Comerç al detall d'electrodomèstics en establiments especialitzats
,via de Massagué,43,ADMINISTRACIO NUM. 13,activitat_econòmica,Comerç al detall de productes de tabac en establiments especialitzats,41.5503,2.10759,,,,sabadellempresa.cat,EL CENTRE,1,"via de Massagué, 43 Bxs",Comerç al detall de productes de tabac en establiments especialitzats
,c. de l' Advocat Cirera,24,ADUHO,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5441,2.10129,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Advocat Cirera, 24 Bxs",Perruqueria i altres tractaments de bellesa
,c. de Joan Plans,27,ADVENTIA,activitat_econòmica,Construcció d'edificis residencials,41.5505,2.10729,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Joan Plans, 27 Bxs 4a",Construcció d'edificis residencials
,Rambla,139,ADVOCADA / MARCH & ASSOCIATS ASSESSORS,activitat_econòmica,Activitats jurídiques,41.5459,2.10736,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 139 2n",Activitats jurídiques
,c. de la República,6,ADVOCATS CAMPS,activitat_econòmica,Activitats jurídiques,41.5451,2.10033,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la República, 6 Bxs 1a",Activitats jurídiques
,rda. de Zamenhof,149,AEGON,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5423,2.11122,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Zamenhof, 149 Bxs 2a",Activitats d'agents i corredors d'assegurances
,Rambla,151,AG 25,activitat_econòmica,Comerç al detall de peces de vestir en establiments especialitzats,41.5425,2.11089,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 151 Bxs 2a",Comerç al detall de peces de vestir en establiments especialitzats
