CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT
"765","c. del Portal de la Floresta","25","Farmacia Planas-Codinach","pharmacy","equipament","41.5760979","2.0862118","","+34937167574","Mo-Sa 09:00-13:30,16:30-20:30","OSM"
"469","c. de Viladomat","201","Repsol","fuel","equipament","41.538","2.098306","","","Mo-Su 06:00-22:00","OSM"
"1348","c. de Domènech i Montaner","96","Repsol","fuel","equipament","41.530222","2.103361","","","Mo-Su 06:00-22:00","OSM"
"1348","c. de Domènech i Montaner","46","Galp","fuel","equipament","41.535083","2.104222","","","24/7","OSM"
"542","ctra. de Terrassa","216","Repsol","fuel","equipament","41.546111","2.094722","","","Mo-Su 06:00-22:00","OSM"
"965","av. de Matadepera","247","Repsol","fuel","equipament","41.572389","2.080417","","","Mo-Su 05:00-01:00","OSM"
"690","c. de Rocafort","123","Shell","fuel","equipament","41.533333","2.100194","","","Mo-Su 06:00-22:00","OSM"
"1410","av. de la Concòrdia","1","Avia","fuel","equipament","41.5588775","2.0964844","","","24/7","OSM"
"927","ctra. de Molins de Rei","","Moeve","fuel","equipament","41.538944","2.099472","","","24/7","OSM"
"1085","c. de Juvenal","12","Farmàcia Herrero Torres, Ignacio","pharmacy","equipament","41.5552276","2.0850427","","+34937160827","","OSM"
"1410","av. de la Concòrdia","48","Farmàcia Cruset Garrell, Núria","pharmacy","equipament","41.5601246","2.0951319","","+34937230794","","OSM"
"1025","c. de la Lusitània","2","Farmàcia Colomina Brusau, M. Rosa","pharmacy","equipament","41.5581798","2.095087","","+34937162335","","OSM"
"1388","c. de Covadonga","310","Farmàcia Tres Creus","pharmacy","equipament","41.5463688","2.1171732","","+34937258185","Mo,Sa 09:00-14:30,16:30-20:30","OSM"
"1317","c. de l' Escola Industrial","6-8","Masclans Cistelleria","gift","comerç","41.5478071","2.1064844","","","","OSM"
"774","c. de Plini el Vell","1-5","","pharmacy","equipament","41.5581711","2.0858445","","+34937165497","Mo-Fr 09:00-13:30,16:30-20:30","OSM"
"1410","av. de la Concòrdia","","BBVA","bank","equipament","41.560894","2.093233","","","","OSM"
"452","rda. de Zamenhof","","Supercor","convenience","comerç","41.5517009","2.1046494","","","","OSM"
"662","c. de les Salenques","7","Mobiprix Mobles Sabadell","yes","comerç","41.5671207","2.0881589","https://www.mobiprix.com","+34 902104168","","OSM"
"1500","c. de Candanchú","31","Farmàcia de Cáceres Botello, José Ignacio","pharmacy","equipament","41.572842","2.0892669","","+34937163171","","OSM"
"467","c. de Vilarrúbias","114","Snooker","bar","equipament","41.5532739","2.1110546","","","","OSM"
"1523","c. de Budapest","61","Telepizza","fast_food","equipament","41.5619345","2.0870057","","+34 937278777","","OSM"
"1296","av. d' Estrasburg","","Domino's","fast_food","equipament","41.5619055","2.0837342","","","","OSM"
"1623","c. d' Aribau","","Caixabank","bank","equipament","41.5290909","2.1101194","https://www.caixabank.es","","","OSM"
"1623","c. d' Aribau","","Dia","supermarket","comerç","41.5292456","2.110055","","","","OSM"
"1623","c. d' Aribau","","Bar Los Martinez","bar","equipament","41.528591","2.1103822","","","","OSM"
"1623","c. d' Aribau","","BBVA","bank","equipament","41.5294202","2.1099584","","","","OSM"
"1421","pg. del Comerç","92","Lidl","supermarket","comerç","41.5298363","2.1092175","","","","OSM"
"1071","c. de Leonardo da Vinci","","","vacant","comerç","41.5237833","2.1105362","","","","OSM"
"1105","c. de Josep Comas","131","Mercadona","supermarket","comerç","41.5240613","2.1105387","https://www.mercadona.es","","09:15-21:00","OSM"
"993","c. de la Mare de les Aigües","","Rincón Chalaco","restaurant","equipament","41.5602654","2.0915165","","","","OSM"
"1505","c. de Campoamor","40","Farmàcia Bernardo Bech, Roser","medical_supply","comerç","41.52821","2.1092673","","+34937104342","","OSM"
"1587","ctra. de Barcelona","19-21","Vèrtic","sports","comerç","41.5429022","2.1036736","http://ca.verticoutdoor.com/vertic-sabadell/","+34 93 745 03 69","","OSM"
"1675","c. d' Alemanya","29","La Pastisseria","bakery","comerç","41.5423161","2.1097932","http://www.pastisserialeptitparis.com/","+34 937 20 41 33","","OSM"
"1184","c. de Gràcia","","Santamasa","restaurant","equipament","41.5470504","2.1077669","","","","OSM"
"1007","pg. de Manresa","","Urbasa","restaurant","equipament","41.5485938","2.1082647","","","","OSM"
"1313","c. de l' Església","3","Restaurant Racó del Campanar","restaurant","equipament","41.5471878","2.1082329","https://www.racodelcampanar.com/","+34 655370470","Mo 13:00-16:00; Tu-Th 10:00-16:00; Fr-Su 10:00-20:00","OSM"
"1296","av. d' Estrasburg","2","Trek","bicycle","comerç","41.5623146","2.0868982","https://www.bicisprint.com/","+34 937 16 68 50","Mo 17:00-21:00; Tu-Fr 09:00-13:00,17:00-21:00; Sa 09:00-13:00","OSM"
"1233","av. de Francesc Macià","34","Jutjats de Sabadell","courthouse","equipament","41.5524894","2.0985345","","","","OSM"
"780","pg. de la Plaça Major","37","El Llit Bar","bar","equipament","41.5476592","2.1084356","https://www.llitbar.cat/","+34 937 128 832","Mo-Fr 16:00-00:00; Sa-Su 11:00-00:00","OSM"
"627","c. de Sant Francesc","15","Impaktes Visuals","gift","comerç","41.5510524","2.107647","https://impaktesvisuals.com/","+34 937 26 24 99","Tu-Sa 11:00-15:30,17:00-20:30","OSM"
"1604","via Aurèlia","2","Tintoreria World Ecologic Sec","laundry","comerç","41.5552272","2.0952705","","+34 937 17 97 25","Mo-Fr 09:00-13:30,16:30-20:30; Sa 09:30-13:30","OSM"
"1142","c. de Jaume I","6-B","Ciclo sport Jaime I","bicycle","comerç","41.5578957","2.0949013","http://ciclosjaumeprimero.blogspot.com.es","+34 937 16 09 15","Mo-Fr 10:00-13:30,17:00-20:00; Sa 10:00-13:30","OSM"
"756","ctra. de Prats de Lluçanès","150","Catalana Occidente Sabadell","insurance","oficina","41.5583004","2.1018441","https://www.seguroscatalanaoccidente.com/","+34 935469085","","OSM"
"1587","ctra. de Barcelona","446","Arrahona","hotel","turisme","41.5315646","2.114306","","","","OSM"
"638","c. de Sant Antoni","13","Museu d'Història de Sabadell","museum","turisme","41.548137","2.1077978","","","","OSM"
"1458","c. de Castellar del Vallès","222","C.A.P. Creu Alta","clinic","equipament","41.5605371","2.1003567","","","","OSM"
"841","c. del Papa Pius XI","116","Clínica accidentes de tráfico, Sabadell","clinic","equipament","41.5535059","2.1027843","","","","OSM"
"1184","c. de Gràcia","78 bis","Clínica Radiografía","clinic","equipament","41.5490955","2.105812","","","","OSM"
"780","pg. de la Plaça Major","48","Abant Joiers","jewelry","comerç","41.5477928","2.1089337","","","Mo-Su 09:45-13:30,17:00-20:30","OSM"
"1512","c. de Calderón","169","Bar Restaurant Olimpic","bar","equipament","41.5461936","2.0999136","","","","OSM"
"1359","c. del Doctor Puig","4","La Sandvitxeria SBD","restaurant","equipament","41.5485421","2.1093996","https://www.lasandvitxeria.cat/","+34 937271398","Tu-Su 13:00-16:00; Tu-Su 20:00-23:30","OSM"
"1233","av. de Francesc Macià","46","McDonald's","fast_food","equipament","41.5534853","2.0982693","https://mcdonalds.es","+34 937239601","Mo-Fr 08:00-22:00; Sa,Su 00:00-01:00,08:00-22:00","OSM"
"1233","av. de Francesc Macià","46-50","Zara","clothes","comerç","41.5528269","2.0985119","https://www.zara.com","+34 937237374","","OSM"
"1233","av. de Francesc Macià","30","H&M","clothes","comerç","41.5521209","2.0983984","","+34 901120084","Mo-Fr 10:00-21:00; Sa 10:00-21:30","OSM"
"569","c. de Sol i Padrís","97","PCsWOW","computer","comerç","41.5366393","2.1194407","","","","OSM"
"657","c. de la Salut","53","Sabway","electronics","comerç","41.5505591","2.1097593","http://sabway.es","+34937250757","Mo-Fr 10:00-14:00, 17:00-20:00; Sa 11:00-14:00","OSM"
"767","rda. de Ponent","183","Fancy Disseny","toys","comerç","41.5491956","2.0982796","https://www.juguetesfancy.com/","+34 937275979","Mo-Sa 16:30-20:30","OSM"
"1584","c. de Batllevell","115","Policia Nacional","police","equipament","41.5573018","2.1078187","","","","OSM"
"1427","c. de Colom","36","Ferreteria Feu","hardware","comerç","41.5464719","2.1041761","","","","OSM"
"1456","pl. de Catalunya","1","Banco Sabadell","bank","equipament","41.5498118","2.0990316","","","","OSM"
"450","c. de Zurbano","3 baix-B","Centre Radiològic SBD","doctors","equipament","41.540815","2.1111115","http://www.crsbd.info","+34 937450324","Mo, We 08:30-13:00,15:30-19:00; Tu, Th 08:30-13:00,15:30-20:00; Fr 08:30-13:00,15:30-17:00","OSM"
"617","c. de Sant Joan","23-31","ARATOP BCN","company","oficina","41.5475945","2.1096939","http://www.aratopbcn.es","+34 646913446","","OSM"
"514","c. de la Unió","100","Casal d'Avis Plaça Vallès","social_facility","equipament","41.5460572","2.1028306","","","","OSM"
"1427","c. de Colom","53","Clinica Veterinaria del Centre","veterinary","equipament","41.5460807","2.1034639","","","Mo-Fr 10:00-20:30; Sa 10:00-13:30","OSM"
"496","pl. del Vallès","3","UEC Sabadell de la Fundació MAIN","school","equipament","41.5457524","2.1026529","https://www.fundaciomain.org/","+34 937 25 77 04","","OSM"
"1427","c. de Colom","46","Cal Blau Sabadell","supermarket","comerç","41.5463029","2.1037066","","","Mo-Fr 08:00-20:00; Sa 10:00-08:30","OSM"
"618","pl. de Sant Jaume","41","Bon Día","cafe","equipament","41.5462667","2.1039078","","","Mo-Sa 06:45-20:00","OSM"
"619","c. de Sant Jaume","27","Restaurant Rubión","restaurant","equipament","41.5462346","2.1044683","https://rubion.es/","+34 937 27 88 77","Tu-Su 13:00-17:00; Fr-Sa 19:30-23:00","OSM"
"965","av. de Matadepera","","Rico Kebab","fast_food","equipament","41.5632866","2.0906106","","","","OSM"
"965","av. de Matadepera","7","Farmàcia Relat Vidal, Jordi","pharmacy","equipament","41.5635881","2.0905697","","+34937161065","","OSM"
"1157","rbla. d' Ibèria","97","Iglesia Evangélica Centro Familiar Cristiano Sabadell","place_of_worship","equipament","41.5409948","2.0984155","","","","OSM"
"679","c. de la Rosa","22","Autoescola l'Asfalt","driving_school","equipament","41.5472344","2.1080363","https://lasfalt.com/","+34 937254892","Mo-Fr 10:00-13:00, 17:00-21:00","OSM"
"780","pg. de la Plaça Major","51-55","Natura","gift","comerç","41.5479919","2.1084656","https://www.naturaselection.com/","+34937278408","Mo-Sa 10:00-21:00","OSM"
"780","pg. de la Plaça Major","59","Heladería Italiana Olivier","ice_cream","equipament","41.5481833","2.1084148","","","","OSM"
"780","pg. de la Plaça Major","43","Nazar","restaurant","equipament","41.5477867","2.1084492","","+34938 32 76 54","","OSM"
"780","pg. de la Plaça Major","41","Lotería N. 1 de Sabadell","lottery","comerç","41.5477211","2.1084408","https://loteriasabadell1.com/","+34937256135","Mo-Fr 09:00-13:00,16:30-20:00; Sa 09:00-13:00","OSM"
"780","pg. de la Plaça Major","39","Helados i torrones Vda. Asensi","ice_cream","equipament","41.5476944","2.1084368","https://www.viudaasensi.com/","+34937261140","Mo-Su 10:00-13:30, 17:00-20:30","OSM"
"679","c. de la Rosa","2","1800 Botiga Dolça","confectionery","comerç","41.5474904","2.1083914","","+34 937258197","Mo-Sa 10:30-13:30, 17:30-21:00","OSM"
"679","c. de la Rosa","28","Sushi21","restaurant","equipament","41.5471595","2.1078983","https://www.sushi21.es/","+34931779353","Mo-Fr 12:00-15:45, 20:00-23:45; Sa 12:30-15:45, 19:45-00:00; Su 12:30-15:45, 20:00-23:45","OSM"
"679","c. de la Rosa","7","Blot","gift","comerç","41.5472752","2.1082405","","+34937105589","Mo-Sa 10:30-20:30","OSM"
"780","pg. de la Plaça Major","27","","tobacco","comerç","41.5473851","2.1085477","","","","OSM"
"780","pg. de la Plaça Major","21","Calzedonia","clothes","comerç","41.547354","2.1085619","https://es.calzedonia.com/","+34937277424","","OSM"
"780","pg. de la Plaça Major","9","Casas","shoes","comerç","41.5471408","2.1085376","https://www.casasclub.com/","+34 937 25 94 78","Mo-Fr 10:00-20:30; Sa 10:00-21:00","OSM"
"1184","c. de Gràcia","2","DepilStore","beauty","comerç","41.547234","2.107687","","+34 937 48 01 67","","OSM"
"979","c. del Marquès de Comillas","139","Ca l'Àngel","restaurant","equipament","41.5453195","2.1162312","","","","OSM"
"588","c. de Sau","","Plt. Cárnica","butcher","comerç","41.5493072","2.1274724","","","","OSM"
"452","rda. de Zamenhof","153","Dia","supermarket","comerç","41.55025","2.0994723","https://www.dia.es","","Mo-Sa 09:00-14:00, 17:00-21:00","OSM"
"452","rda. de Zamenhof","145","Farmàcia Pareja Cozcolluela, Josep Manel","pharmacy","equipament","41.5504459","2.1002161","http://www.farmaciapareja.com","+34 937265628","Sa,Su 09:00-22:00; Mo-Fr 08:00-22:00","OSM"
"452","rda. de Zamenhof","107-117","BonÀrea","supermarket","comerç","41.5508009","2.1017476","https://www.bonarea.es/","+34 937450737","Mo-Sa 09:00-20:45; Su 09:00-14:00","OSM"
