CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,GRUP,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de l' Estrella,128,ABORA,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5427,2.10732,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estrella, 128 B 1r 2a",Activitats de medicina especialitzada
,c. de Montserrat,5,ALONSO CENTRE MEDIC DENTAL,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5474,2.11198,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Montserrat, 5 B Bxs",Activitats odontològiques
,Rambla,107,AMPLIFON,Salut - Medicina,activitat_econòmica,Comerç al detall d'articles mèdics i ortopèdics en establiments especialitzats,41.5432,2.11006,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 107 Bxs",Comerç al detall d'articles mèdics i ortopèdics en establiments especialitzats
,c. de l' Estrella,110,AVAN,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5442,2.11035,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estrella, 110 Bxs",Activitats de medicina especialitzada
,c. de Colom,48,BELLVER CONSULTA DE PODOLOGIA,Salut - Medicina,activitat_econòmica,Altres activitats sanitàries,41.547,2.11007,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Colom, 48 Bxs 5a",Altres activitats sanitàries
,c. de Sant Cugat,114,CENTRE D'OFTALMOLOGIA,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5422,2.11125,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Cugat, 114 1r",Activitats de medicina especialitzada
,c. de Sant Cugat,116,CENTRE D'OFTALMOLOGIA INSTITUT DE LA RETINA,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5434,2.10651,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Cugat, 116 Bxs",Activitats de medicina especialitzada
,c. de Sant Antoni Maria Claret,18,CENTRE DE CARDIOLOGIA LOUBAD & IRIARTE,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Antoni Maria Claret, 18 4t 1a",Activitats de medicina especialitzada
,c. de les Valls,28,CENTRE HABILIS,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Valls, 28 1r 1a",Activitats de medicina especialitzada
,c. de Sant Pau,159,CENTRE PODOLOLOGIC,Salut - Medicina,activitat_econòmica,Altres activitats sanitàries,41.5468,2.10132,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Pau, 159 Bxs",Altres activitats sanitàries
,c. de Sant Pau,2,CLINICA DENTAL BORRELL,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5475,2.11274,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Pau, 2 1r 2a",Activitats odontològiques
,rda. de Zamenhof,149,CLINICA DENTAL DR. J. ESPINOZA,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5422,2.11884,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Zamenhof, 149 1r 1a",Activitats odontològiques
,c. del Sol,35,CLINICA DENTAL SALES,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5463,2.10622,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Sol, 35 Bxs 2a",Activitats odontològiques
,pg. de la Plaça Major,21,CLINICA ODONTOLOGICA SERRA RISTOL,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5459,2.10884,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de la Plaça Major, 21 3r 1a",Activitats odontològiques
,c. de Sant Pau,7,CLINICA PODOLOGICA,Salut - Medicina,activitat_econòmica,Activitats de medicina especialitzada,41.547,2.10568,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Pau, 7 2n 1a",Activitats de medicina especialitzada
,c. de l' Església,7,CLINICA SANT FELIX,Salut - Dental,activitat_econòmica,Activitats odontològiques,41.5416,2.10522,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Església, 7 1r A",Activitats odontològiques
